EmployeeID,StartDate,EndDate,Amount,PaymentType,HourlyRate,MonthlySalary,HoursWorked
207,2020-01-29,2020-02-05,296.24,hourly,40.86,,7.25
302,2022-11-30,2022-12-14,8955.63,monthly,,8955.63,
273,2021-03-24,2021-03-31,2002.74,hourly,23.02,,87.0
246,2022-04-06,2022-04-20,7573.54,monthly,,7573.54,
343,2020-04-08,2020-04-22,5721.15,monthly,,5721.15,
8,2020-12-02,2020-12-09,1248.8,hourly,22.4,,55.75
25,2020-07-08,2020-07-15,1621.62,hourly,27.72,,58.5
30,2020-12-02,2020-12-16,9133.79,monthly,,9133.79,
163,2020-01-01,2020-01-15,4803.69,hourly,36.53,,131.5
303,2022-02-23,2022-03-02,1617.19,hourly,29.81,,54.25
391,2020-06-17,2020-07-01,2359.34,hourly,24.77,,95.25
198,2020-01-08,2020-01-15,1983.72,hourly,43.36,,45.75
17,2022-06-15,2022-06-29,7558.26,monthly,,7558.26,
435,2022-02-23,2022-03-09,4972.31,hourly,39.62,,125.5
208,2020-01-22,2020-01-29,8258.73,monthly,,8258.73,
11,2021-05-26,2021-06-02,1788.57,hourly,35.07,,51.0
332,2020-08-12,2020-08-19,3623.04,hourly,75.48,,48.0
289,2020-08-05,2020-08-12,1883.7,hourly,38.64,,48.75
338,2021-09-15,2021-09-22,9820.97,monthly,,9820.97,
411,2021-10-13,2021-10-20,3528.0,hourly,58.8,,60.0
470,2020-04-15,2020-04-22,1867.89,hourly,33.06,,56.5
491,2022-11-30,2022-12-14,9219.52,monthly,,9219.52,
490,2021-06-16,2021-06-23,2525.4,hourly,54.9,,46.0
397,2022-04-06,2022-04-13,1739.1,hourly,34.1,,51.0
352,2020-09-02,2020-09-09,7974.53,monthly,,7974.53,
273,2020-11-11,2020-11-18,1375.44,hourly,23.02,,59.75
95,2022-10-19,2022-11-02,9670.22,monthly,,9670.22,
398,2021-12-15,2021-12-29,3914.05,hourly,42.2,,92.75
454,2021-05-12,2021-05-19,6963.11,monthly,,6963.11,
89,2020-05-20,2020-06-03,3249.86,hourly,34.39,,94.5
57,2021-05-19,2021-06-02,8421.77,monthly,,8421.77,
197,2021-07-21,2021-07-28,2493.16,hourly,46.82,,53.25
89,2021-08-25,2021-09-08,3696.93,hourly,34.39,,107.5
35,2021-03-17,2021-03-24,1347.36,hourly,28.07,,48.0
319,2020-04-01,2020-04-08,8794.92,monthly,,8794.92,
